"block","contrast","symbol","log2_normalized_ratio"
"68_3__batch1","day1_vs_control","PANK3",-0.33071740927627
"68_3__batch1","day1_vs_control","NEFM",0.696556672228432
"68_3__batch1","day1_vs_control","CDH2",-0.148176194812013
"68_3__batch1","day1_vs_control","SQLE",-0.386224230014966
"68_3__batch1","day1_vs_control","SET",0.212956212697581
"68_3__batch1","day1_vs_control","WDR82",0.265224582674616
"68_3__batch1","day1_vs_control","NCKAP1",0.0135503427866475
"68_3__batch1","day1_vs_control","ARHGAP21",-0.272958681587664
"68_3__batch1","day1_vs_control","HNRNPA3",0.0585081953372608
"68_3__batch1","day1_vs_control","NCAN",-0.280479450497637
"68_3__batch1","day1_vs_control","TMEM30A",-0.629786664550593
"68_3__batch1","day1_vs_control","MAGED2",0.597258823274579
"68_3__batch1","day1_vs_control","CDC42",-0.034484237465529
"68_3__batch1","day1_vs_control","RAD21",-0.476510183819967
"68_3__batch1","day1_vs_control","OGT",-1.03876185032254
"68_3__batch1","day1_vs_control","HSP90B1",0.278214502237358
"68_3__batch1","day1_vs_control","NEDD4L",-0.0168459851524343
"68_3__batch1","day1_vs_control","HN1",0.255680681137511
"68_3__batch1","day1_vs_control","TMX4",0.0741084837661976
"68_3__batch1","day1_vs_control","SPIN1",0.130498111726768
"68_3__batch1","day1_vs_control","CIRBP",0.0397632090082638
"68_3__batch1","day1_vs_control","ACLY",0.0653563293780177
"68_3__batch1","day1_vs_control","C7orf41",0.213518661147225
"68_3__batch1","day1_vs_control","SOGA1",0.395712953613627
"68_3__batch1","day1_vs_control","CDK5R1",0.33997589794506
"68_3__batch1","day1_vs_control","HNRNPH1",-0.217401671188201
"68_3__batch1","day1_vs_control","TMEM178B",0.110832153704553
"68_3__batch1","day1_vs_control","ZFHX3",0.160259654126895
"68_3__batch1","day1_vs_control","G3BP2",0.0981520464145795
"68_3__batch1","day1_vs_control","MYCBP2",-0.0801887605043738
"68_3__batch1","day1_vs_control","CEP170",-0.0871380622724196
"68_3__batch1","day1_vs_control","ARF4",-0.569706033705717
"68_3__batch1","day1_vs_control","HERC1",0.106125940062608
"68_3__batch1","day1_vs_control","ZCCHC12",1.02496055967227
"68_3__batch1","day1_vs_control","GPM6B",-0.347043690522687
"68_3__batch1","day1_vs_control","PWAR6",-0.298925393995953
"68_3__batch1","day1_vs_control","TERF2IP",-0.207805562531153
"68_3__batch1","day1_vs_control","NCL",0.467589038191797
"68_3__batch1","day1_vs_control","DNAJC6",-0.0104126681379597
"68_3__batch1","day1_vs_control","ABI2",0.0160545064938944
"68_3__batch1","day1_vs_control","PTPLAD1",-0.295735879524351
"68_3__batch1","day1_vs_control","AZIN1",0.0644793756983706
"68_3__batch1","day1_vs_control","ATRX",-0.117372071441117
"68_3__batch1","day1_vs_control","CACNA1E",-0.355071513587552
"68_3__batch1","day1_vs_control","NBEA",-0.0143066371255536
"68_3__batch1","day1_vs_control","ATP8A2",0.298335235563908
"68_3__batch1","day1_vs_control","TUBB2A",0.131415178632244
"68_3__batch1","day1_vs_control","CD47",-0.547307726522764
"68_3__batch1","day1_vs_control","EVL",0.22398659397939
"68_3__batch1","day1_vs_control","CELF1",-0.270240697778828
"68_3__batch1","day1_vs_control","CKAP5",0.0865634533425368
"68_3__batch1","day1_vs_control","ADD2",0.469386827446801
"68_3__batch1","day1_vs_control","CAPRIN1",0.244530150905577
"68_3__batch1","day1_vs_control","TANC2",0.248829966522852
"68_3__batch1","day1_vs_control","DAAM1",-0.356457196880971
"68_3__batch1","day1_vs_control","FADS1",-0.2277499648806
"68_3__batch1","day1_vs_control","PTMA",0.378918260853251
"68_3__batch1","day1_vs_control","PCLO",-0.204251413939216
"68_3__batch1","day1_vs_control","DKK3",-0.278454798450159
"68_3__batch1","day1_vs_control","PBX1",0.0990133251739209
"68_3__batch1","day1_vs_control","FAM168A",0.186885667690339
"68_3__batch1","day1_vs_control","GRIA1",-0.654900214642069
"68_3__batch1","day1_vs_control","PAM",-0.126447839279725
"68_3__batch1","day1_vs_control","TSC22D1",-0.087675734913514
"68_3__batch1","day1_vs_control","RAB6A",-0.0138469756589892
"68_3__batch1","day1_vs_control","FUS",0.33827463600168
"68_3__batch1","day1_vs_control","CAMTA1",0.115481406821706
